id,text,model_prediction,is_correct,actual_pillar,clean_text,notes,category,video_id
9f0540e9-2525-4f8d-aea3-bd4f9a114300,Hand speed just as fast as foot speed fhis is crazy 🤣🤣🤣🤣,JOY,1,"",Hand speed just as fast as foot speed fhis is crazy :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing:,amusement (0.499),comedy,8d806655-ecb4-4491-a25a-331a070c2f39
233796e7-695a-4b7b-bd7d-a1e3bd63ee14,Going bananas 4,NEUTRAL,1,"",Going bananas 4,neutral (0.998),comedy,8d806655-ecb4-4491-a25a-331a070c2f39
5e489935-3988-4126-bc90-e3e5e778f9d2,Bro didn't missed any single shot 💀,NEUTRAL,0,SURPRISE,Bro didn't missed any single shot :skull:,neutral (0.995),comedy,90bca555-3406-469e-be5f-f060d78f011a
2644b17a-daf8-41e2-8b57-e7d1e1012292,🤣,JOY,1,"",:rolling_on_the_floor_laughing:,amusement (0.789),comedy,90bca555-3406-469e-be5f-f060d78f011a
ecddfa24-21d2-466e-adc2-451a02b5f744,What did bro do to deserve that,SURPRISE,1,"",What did bro do to deserve that,curiosity (0.544),comedy,90bca555-3406-469e-be5f-f060d78f011a
82edc3c1-6ef4-4432-9672-fa2fc8771780,Bros acuracy💀,NEUTRAL,0,SURPRISE,Bros acuracy :skull:,neutral (0.998),comedy,90bca555-3406-469e-be5f-f060d78f011a
e0c7f823-f14b-4ac9-b67e-9c2ebf1e1821,IM TOO HIGH FOR THIS STOP MY EARS PLEASEEE,NEUTRAL,0,ANGER,IM TOO HIGH FOR THIS STOP MY EARS PLEASEEE,neutral (0.935),comedy,9a627c07-7071-4ed9-96c9-593aa7d6b00d
16369070-f4fb-4933-8017-a4654311dcc7,Noise pollution 😭💔,SADNESS,1,"",Noise pollution :loudly_crying_face: :broken_heart:,sadness (0.958),comedy,9a627c07-7071-4ed9-96c9-593aa7d6b00d
3391669f-0c41-4001-b653-a682ea53ac1a,Coulda used js one more sound effect,NEUTRAL,1,"",Coulda used js one more sound effect,neutral (0.996),comedy,9a627c07-7071-4ed9-96c9-593aa7d6b00d
f0e50c18-fb8f-466c-9a96-ce9c9823502e,Green giant 🗣️🗣️🗣️🔥🔥🔥,NEUTRAL,1,"",Green giant :speaking_head: :speaking_head: :speaking_head: :fire: :fire: :fire:,neutral (0.997),comedy,9a627c07-7071-4ed9-96c9-593aa7d6b00d
51948ebd-5ae5-4d1d-b308-fbdda4ac77a4,Central D,NEUTRAL,1,"",Central D,neutral (0.998),comedy,acce5333-f82a-4654-9274-66696856ea71
328a5e5f-0751-4b26-9202-6a8103d9af4a,That reaction took 3 to 5 business days,NEUTRAL,1,"",That reaction took 3 to 5 business days,neutral (0.993),comedy,acce5333-f82a-4654-9274-66696856ea71
73cb048b-e3dd-44d4-a41a-8c3462ba146e,it flopped to the ground 😭,NEUTRAL,0,SURPRISE,it flopped to the ground :loudly_crying_face:,neutral (0.937),comedy,acce5333-f82a-4654-9274-66696856ea71
bda57c2c-081f-423c-b59f-41262da12ff0,😂😂😂😂😂😂😂😂,NEUTRAL,0,JOY,:face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy:,neutral (0.922),comedy,acce5333-f82a-4654-9274-66696856ea71
a5c884f2-4390-412d-93bf-0bdbeacc2c69,Bink 986,NEUTRAL,1,"",Bink 986,neutral (0.998),comedy,acce5333-f82a-4654-9274-66696856ea71
fdecad93-0312-4a24-9473-8a5fff1337d1,Template for a mammal,NEUTRAL,1,"",Template for a mammal,neutral (0.998),comedy,b94cca52-81e1-426a-ab46-94874b4a1d13
7b3866f3-a190-4353-997e-b53bddbb9a1c,🐭+🦌,NEUTRAL,1,"",:mouse_face: :deer:,neutral (0.998),comedy,b94cca52-81e1-426a-ab46-94874b4a1d13
2eb2917e-f1fa-4d73-94ab-3b11e9c1d6a5,Bro is a template for a mammal,NEUTRAL,1,"",Bro is a template for a mammal,neutral (0.998),comedy,b94cca52-81e1-426a-ab46-94874b4a1d13
e42f73de-5cff-4743-9ae5-e2e445ecce92,Paca eating cuscus🔥🗣️,NEUTRAL,0,JOY,Paca eating cuscus :fire: :speaking_head:,neutral (0.997),comedy,b94cca52-81e1-426a-ab46-94874b4a1d13
bfbc1bfc-3216-4758-bd2c-9c7592bd07d0,2xidoo,NEUTRAL,1,"",2xidoo,neutral (0.998),comedy,cef81a84-9eb0-42f5-8c9d-cce87143b882
5216186f-749e-4918-8f51-2adc7613be9f,espn,NEUTRAL,1,"",espn,neutral (0.998),comedy,cef81a84-9eb0-42f5-8c9d-cce87143b882
3a60fb0d-e7e1-4750-a624-6b5984130886,DAMN GYATT😳😳😳,NEUTRAL,0,JOY,DAMN GYATT :flushed_face: :flushed_face: :flushed_face:,neutral (0.892),comedy,cef81a84-9eb0-42f5-8c9d-cce87143b882
b556e7de-a3b4-4702-9cdd-949868406dd4,i know a teacher who walks like this,NEUTRAL,1,"",i know a teacher who walks like this,neutral (0.949),comedy,cef81a84-9eb0-42f5-8c9d-cce87143b882
4aab84e3-cc8d-4f89-ae48-db8c1c2731a1,man he's Ready to shoot it,NEUTRAL,1,"",man he's Ready to shoot it,neutral (0.997),comedy,cef81a84-9eb0-42f5-8c9d-cce87143b882
f368bbe7-2a84-4457-8211-1a8046c31ca4,Were can I find the full episode? I love to listen to the whole conversation,JOY,1,"",Were can I find the full episode? I love to listen to the whole conversation,love (0.936),education,351dee9a-2eac-4f1b-8fb2-51232ffe7011
fbffc1f0-ddc1-4ada-add6-3f74f9ca172b,Some people vent just to get attention. They constantly look for new people to voice their tired stories to a fresh audience.,NEUTRAL,0,ANGER,Some people vent just to get attention. They constantly look for new people to voice their tired stories to a fresh audience.,neutral (0.995),education,351dee9a-2eac-4f1b-8fb2-51232ffe7011
251648ce-c135-4573-8381-5e3dcde87cc6,how many people distance themselves when you actually try and help them solve a problem or expand their thinking on a topic. most people just want the validation and it’s sad.,SADNESS,1,"",how many people distance themselves when you actually try and help them solve a problem or expand their thinking on a topic. most people just want the validation and it's sad.,sadness (0.967),education,351dee9a-2eac-4f1b-8fb2-51232ffe7011
6cf7f7b5-7343-4d4f-a917-9349cc45bd0e,"My body changed completely after training progressive overload style 2-3 times a week for an hour and a healthy, normal diet. I wish this for everybody. After a while you’ll prioritize making time, because the positive effects on your mental health will draw you back into the gym.",JOY,1,"","My body changed completely after training progressive overload style 23 times a week for an hour and a healthy, normal diet. I wish this for everybody. After a while you'll prioritize making time, because the positive effects on your mental health will draw you back into the gym.",desire (0.894),education,351dee9a-2eac-4f1b-8fb2-51232ffe7011
d6e7c71a-c1bc-493b-80b0-b2b7b54ac394,Having a strong Chatter Advisory Board is so important 👏,NEUTRAL,1,"",Having a strong Chatter Advisory Board is so important :clapping_hands:,neutral (0.478),education,351dee9a-2eac-4f1b-8fb2-51232ffe7011
099633f2-004d-4a49-a283-9b201fd2c4bc,"My dad used to preach daily, monthly and yearly goal setting to us. Until I was an adult I thought everyone got this from their dad.",NEUTRAL,1,"","My dad used to preach daily, monthly and yearly goal setting to us. Until I was an adult I thought everyone got this from their dad.",neutral (0.669),education,4195afee-bab0-405a-81b8-01aa19094b02
50a6ff4c-77cb-42a6-8c84-ae788e27a938,I think this is what we mean when we say we need to keep our child like qualities of joy and amazement ❤️❤️❤️❤️awesome episode‼️,JOY,1,"",I think this is what we mean when we say we need to keep our child like qualities of joy and amazement :red_heart: :red_heart: :red_heart: :red_heart: awesome episode :double_exclamation_mark:,approval (0.276),education,4195afee-bab0-405a-81b8-01aa19094b02
6431e680-5fe8-4ec6-89ac-d082ba21d93c,Two 🐐’s,NEUTRAL,0,JOY,Two :goat: 's,neutral (0.998),education,4195afee-bab0-405a-81b8-01aa19094b02
3213672a-af9d-425f-a5fd-9422f6af1b88,I just KNOW people got halfway through the video and confirmed their assumption that fasted cardio is superior and continued scrolling before the conclusion 😂😂,NEUTRAL,0,JOY,I just KNOW people got halfway through the video and confirmed their assumption that fasted cardio is superior and continued scrolling before the conclusion :face_with_tears_of_joy: :face_with_tears_of_joy:,neutral (0.793),education,4195afee-bab0-405a-81b8-01aa19094b02
65a9a541-f72f-4313-851d-6321bb12bd5d,I’m not all the way through the podcast but it’s been super informative (and honestly relieving) so far!,JOY,1,"",I'm not all the way through the podcast but it's been super informative and honestly relieving so far!,admiration (0.525),education,4195afee-bab0-405a-81b8-01aa19094b02
c8df5a4c-f3c9-4c50-9486-e1df2b8e2581,"i have realized, meditation, makes the man. Even if you don’t think you’re doing it right or whatever just do it.",SURPRISE,1,"","i have realized, meditation, makes the man. Even if you don't think you're doing it right or whatever just do it.",realization (0.9),education,4e965d34-b666-4721-81c0-b0663b1086a9
4774b3b0-a1cd-4fd0-945a-b62678e9f6c2,"👏 this is why I work with meditation daily with patients, social workers and my family ❤️",NEUTRAL,0,JOY,":clapping_hands: this is why I work with meditation daily with patients, social workers and my family :red_heart:",neutral (0.969),education,4e965d34-b666-4721-81c0-b0663b1086a9
64dcb8e3-239b-4dd4-8781-3787f3093de8,"This is so relevant right now, I appreciate this. On my ‘to listen’ list. 🙌🏻",JOY,1,"","This is so relevant right now, I appreciate this. On my 'to listen' list. :raising_hands_light_skin_tone:",admiration (0.936),education,4e965d34-b666-4721-81c0-b0663b1086a9
3dd8abf9-db9f-48f9-8f27-ad375cb2a21b,Your grief podcasts have helped me so much since losing my partner 6 months ago. I listen to one of your podcasts every night to help me get to sleep now. I’m loving learning before drifting off! ❤️,JOY,1,"",Your grief podcasts have helped me so much since losing my partner 6 months ago. I listen to one of your podcasts every night to help me get to sleep now. I'm loving learning before drifting off! :red_heart:,love (0.868),education,4e965d34-b666-4721-81c0-b0663b1086a9
408e614d-5a03-4129-9120-2b6dcfc26f46,I'm not sure how to get this podcast.,SURPRISE,1,"",I'm not sure how to get this podcast.,confusion (0.974),education,4e965d34-b666-4721-81c0-b0663b1086a9
71d03736-9462-4666-b0e8-b2a3e0e47d70,So cool 🙌,JOY,1,"",So cool :raising_hands:,admiration (0.344),education,79121a62-ec29-4bf5-a003-e8cac653db63
1c690c8f-3e6d-4835-864c-fbbbf54e25a9,She’s legendary!! Well done @drlaurencs1 👏👏👏,JOY,1,"",She's legendary!! Well done :clapping_hands: :clapping_hands: :clapping_hands:,admiration (0.977),education,79121a62-ec29-4bf5-a003-e8cac653db63
4e8dfac6-0677-4c42-8fde-ffdf07544598,Fascinating discussion! A 2024 study in Nature Reviews Endocrinology found that gut microbiome composition significantly influences estrogen and progesterone metabolism through the estrobolome. Women with diverse gut bacteria showed more stable hormone fluctuations and better exercise recovery across their cycle. The research showed that prebiotic fiber intake (20-25g/day) optimized hormone balance and reduced menstrual symptoms by 45%. The gut-hormone axis is crucial for performance!,JOY,1,"",Fascinating discussion! A 2024 study in Nature Reviews Endocrinology found that gut microbiome composition significantly influences estrogen and progesterone metabolism through the estrobolome. Women with diverse gut bacteria showed more stable hormone fluctuations and better exercise recovery across their cycle. The research showed that prebiotic fiber intake 2025gday optimized hormone balance and reduced menstrual symptoms by 45. The guthormone axis is crucial for performance!,admiration (0.891),education,79121a62-ec29-4bf5-a003-e8cac653db63
6bc09e37-1af5-4f99-b999-ca546c5c12e7,nba,NEUTRAL,1,"",nba,neutral (0.998),education,79121a62-ec29-4bf5-a003-e8cac653db63
dec29a2c-e7d9-411e-9925-d76ae106a043,Lauren is a true evidence-based professional; one of the truly good ones in the field,JOY,1,"",Lauren is a true evidencebased professional one of the truly good ones in the field,admiration (0.974),education,79121a62-ec29-4bf5-a003-e8cac653db63
09d21e09-5e03-482c-8e4f-374622fb630c,"Thank you @drshannaswan You are look fantastic and are so switched on 💡for 89! Besides distilled water, staying away from plastics, shopping at farmers’ markets, any other tips personal tips for health and longevity? What do you eat, exercise regimen etc.?",JOY,1,"","Thank you You are look fantastic and are so switched on :light_bulb: for 89! Besides distilled water, staying away from plastics, shopping at farmers' markets, any other tips personal tips for health and longevity? What do you eat, exercise regimen etc.?",gratitude (0.648),education,9b75692e-6a77-45ef-a94e-47f59ed95121
715431e7-eeaf-4557-b9c7-74243d13373f,"And this is why we pay taxes and have government agencies to oversee these industries and protect the consumer citizens with oversight, regulations and studies… it’s working great don’t you think?!? 🙄 Such a broken system. We still pay plenty of taxes to fund these agencies but we get little to nothing in return. Sorry for the rant! Thanks for all your great content @hubermanlab! I always learn so much.",JOY,0,ANGER,"And this is why we pay taxes and have government agencies to oversee these industries and protect the consumer citizens with oversight, regulations and studies it's working great don't you think?!? :face_with_rolling_eyes: Such a broken system. We still pay plenty of taxes to fund these agencies but we get little to nothing in return. Sorry for the rant! Thanks for all your great content ! I always learn so much.",gratitude (0.506),education,9b75692e-6a77-45ef-a94e-47f59ed95121
63b4d3bc-b295-4ef1-b3cc-f5831aa455c4,"So what is your taje on distilled water? Id that a safe, worthwhile, and healthy way to reduce expisure to endocrine disruptors? You seemed a bit surprised when she mentioned it.",SURPRISE,1,"","So what is your taje on distilled water? Id that a safe, worthwhile, and healthy way to reduce expisure to endocrine disruptors? You seemed a bit surprised when she mentioned it.",curiosity (0.785),education,9b75692e-6a77-45ef-a94e-47f59ed95121
77c88b08-c1ca-4b78-b6fa-200731b0a272,Wow ! 89 ??? She seems 20-30 years less than that.,SURPRISE,1,"",Wow ! 89 ??? She seems 2030 years less than that.,surprise (0.861),education,9b75692e-6a77-45ef-a94e-47f59ed95121
3b46965d-95cc-4727-bb28-49a56721e1c4,SNEAKY RATS 🐀,NEUTRAL,1,"",SNEAKY RATS :rat:,neutral (0.995),education,9b75692e-6a77-45ef-a94e-47f59ed95121
0140f5d9-3373-48e8-b398-afa9f8f4df7f,Yess. Befriending my anxiety has done me wonders 👏 love this,JOY,1,"",Yess. Befriending my anxiety has done me wonders :clapping_hands: love this,love (0.875),education,b27af20e-9c98-4788-8a32-f21b224b926d
bc7efaa3-5cb5-4fa6-82e3-bef8cb6d796c,explaining,NEUTRAL,1,"",explaining,neutral (0.997),education,b27af20e-9c98-4788-8a32-f21b224b926d
7b997a0b-6dd6-4a87-afdc-b0881fb70a78,This is a great advice 💯,JOY,1,"",This is a great advice :hundred_points:,admiration (0.898),education,b27af20e-9c98-4788-8a32-f21b224b926d
00b6abd0-71f9-46e8-a9c8-f2bbe4746361,1d · Edited,NEUTRAL,1,"",1d Edited,neutral (0.998),education,b27af20e-9c98-4788-8a32-f21b224b926d
d4fe1997-cd50-49c6-b5ca-033bb69dbcd6,YEEESSSS !!!!! 🤍,JOY,1,"",YEEESSSS !!!!! :white_heart:,excitement (0.539),education,b27af20e-9c98-4788-8a32-f21b224b926d
08e33491-9b4b-4e3d-b30a-a4eea4e47ae3,lol great,JOY,1,"",lol great,amusement (0.789),education,b97f297f-e82b-4fc6-adf9-c7b2b3c9c014
462ed775-83ae-49bf-886e-f2813f3d73f9,"I wish there were people (actual doctors with MDs) who were saying the same back in the 80s and wait for it to… even in the 60s! Can you imagine? Well, there were and still are.",JOY,0,SADNESS,"I wish there were people actual doctors with MDs who were saying the same back in the 80s and wait for it to even in the 60s! Can you imagine? Well, there were and still are.",desire (0.78),education,b97f297f-e82b-4fc6-adf9-c7b2b3c9c014
95be3da8-4f6b-48e8-816e-43f9d6007672,There is nothing that a walk in nature won’t fix 😉,NEUTRAL,1,"",There is nothing that a walk in nature won't fix :winking_face:,neutral (0.92),education,b97f297f-e82b-4fc6-adf9-c7b2b3c9c014
64eb67dd-e0bb-4c6c-ad52-30d07f27c902,"Once again, the power of the mind?",SURPRISE,1,"","Once again, the power of the mind?",curiosity (0.668),education,b97f297f-e82b-4fc6-adf9-c7b2b3c9c014
b3aa5fe8-35c1-4dfd-9436-0fae94f01679,I love peppermint eo for my his boost a clean undiluted pure brand you trust !,JOY,1,"",I love peppermint eo for my his boost a clean undiluted pure brand you trust !,love (0.989),education,bc35fdb2-0d27-42d2-be3a-1f0d8f745e5a
a98d9a0a-a949-40f3-9987-c8a69cf67bfb,@angela_dalmolin wow this is perfect for you right now!!! 🙌,JOY,1,"",wow this is perfect for you right now!!! :raising_hands:,admiration (0.635),education,bc35fdb2-0d27-42d2-be3a-1f0d8f745e5a
5be7c1f7-3c3c-431b-96ed-be092913f702,This was SUCH a good episode,JOY,1,"",This was SUCH a good episode,admiration (0.992),education,bc35fdb2-0d27-42d2-be3a-1f0d8f745e5a
b4918a0b-0c16-46ac-8b4e-6120eb9063a7,Does this practice also help to spike cortisol 50% higher than in normal resting state?,SURPRISE,1,"",Does this practice also help to spike cortisol 50 higher than in normal resting state?,curiosity (0.704),education,bc35fdb2-0d27-42d2-be3a-1f0d8f745e5a
676b2eca-4524-4f32-b3b0-b99c19e9003d,Spleen regeneration is such a big part in autoimmune conditions and most overlooked - love face ice baths,NEUTRAL,0,JOY,Spleen regeneration is such a big part in autoimmune conditions and most overlooked love face ice baths,neutral (0.422),education,bc35fdb2-0d27-42d2-be3a-1f0d8f745e5a
d723a162-45e9-4eaa-923f-2fcf65c608bc,Consider the fact that Cannabis isn’t what it used to be so people need to be mindful how it may affect certain people.,NEUTRAL,1,"",Consider the fact that Cannabis isn't what it used to be so people need to be mindful how it may affect certain people.,neutral (0.7),education,ce08c2cf-fe32-49a9-a214-28f2928bc53a
32afa2d8-a85c-4184-9950-71a3ab41a256,Cannabis creates an unapologetic mood that is very unhealthy for you to fluently do the things you want to. It's like a magic wand who doesn't always listen to you.,NEUTRAL,1,"",Cannabis creates an unapologetic mood that is very unhealthy for you to fluently do the things you want to. It's like a magic wand who doesn't always listen to you.,neutral (0.308),education,ce08c2cf-fe32-49a9-a214-28f2928bc53a
829a932b-b7bd-4a4f-a198-2da1f6ddb399,Fertility,NEUTRAL,1,"",Fertility,neutral (0.97),education,ce08c2cf-fe32-49a9-a214-28f2928bc53a
925aa3af-7411-45fe-8215-4c11f7e823c0,YESSSS,NEUTRAL,0,JOY,YESSSS,neutral (0.602),education,ce08c2cf-fe32-49a9-a214-28f2928bc53a
7c2c10e6-68e4-429e-89bd-ad199832d04b,gaming.freak01,NEUTRAL,1,"",gaming.freak01,neutral (0.997),education,ce08c2cf-fe32-49a9-a214-28f2928bc53a
bd7222ec-7110-4536-b42b-9953128f8473,findthecashatl,NEUTRAL,1,"",findthecashatl,neutral (0.998),education,f1f4448d-7f5d-423a-a42e-ad358cbd4b08
c35d7bed-04f4-4fed-bafe-193374da4330,Maybe I need to watch this full episode.,NEUTRAL,1,"",Maybe I need to watch this full episode.,neutral (0.897),education,f1f4448d-7f5d-423a-a42e-ad358cbd4b08
01fc42aa-803e-4365-9df6-7b70cc5c3380,"This entire episode with @hubermanlab spoke about and answered ALL OF THE QUESTIONS I’ve been having about growing muscle, osteopaenia, frequency and type of exercise, supplements and so much more I’m so grateful",JOY,1,"","This entire episode with spoke about and answered ALL OF THE QUESTIONS I've been having about growing muscle, osteopaenia, frequency and type of exercise, supplements and so much more I'm so grateful",gratitude (0.989),education,f1f4448d-7f5d-423a-a42e-ad358cbd4b08
734fc657-acd2-45e6-8a7f-53aff66930fa,recent guest list has been 🔥,NEUTRAL,0,JOY,recent guest list has been :fire:,neutral (0.998),education,f1f4448d-7f5d-423a-a42e-ad358cbd4b08
4d829ca0-d91a-44e8-8b09-b50fb04a61a4,"Everyone mentioning Stacy Sims, they’ve already debated. Look it up on youtube. Stacy makes a lot of claims that just are not backed up by evidence.",NEUTRAL,0,ANGER,"Everyone mentioning Stacy Sims, they've already debated. Look it up on youtube. Stacy makes a lot of claims that just are not backed up by evidence.",neutral (0.978),education,f1f4448d-7f5d-423a-a42e-ad358cbd4b08
68bb21f3-6e81-4a7d-bcd9-562cda3f3d88,🔥🔥🔥,NEUTRAL,0,JOY,:fire: :fire: :fire:,neutral (0.998),gaming,10381a8e-67c6-468a-ba32-86563fd933e0
01fc82ad-a646-4e66-b6a4-e0941c5a0102,masterbuild_construction_p,NEUTRAL,1,"",masterbuild_construction_p,neutral (0.998),gaming,10381a8e-67c6-468a-ba32-86563fd933e0
d0ab0565-eed5-4482-a6cd-a85af4a56a08,⚠️🚩 Looks like this page is about to go down hill. Jump ship now,NEUTRAL,0,ANGER,:warning: :triangular_flag: Looks like this page is about to go down hill. Jump ship now,neutral (0.954),gaming,10381a8e-67c6-468a-ba32-86563fd933e0
bd73f3ee-f5a1-4f0a-ba36-b892326e6fb3,My name is Arthur Morgan 😢😢,NEUTRAL,0,SADNESS,My name is Arthur Morgan :crying_face: :crying_face:,neutral (0.975),gaming,1d1c00eb-7828-4518-bbe6-ed76b8780984
8d12e636-6954-4b95-bbd6-705d161f86a5,80 hours,NEUTRAL,1,"",80 hours,neutral (0.998),gaming,1d1c00eb-7828-4518-bbe6-ed76b8780984
8581d072-cb11-4e29-bb8e-e13a1b4cd817,thefactspie,NEUTRAL,1,"",thefactspie,neutral (0.998),gaming,1d1c00eb-7828-4518-bbe6-ed76b8780984
9ad975cc-7e76-4c21-a90e-da1553def101,💔🥷🏻,SADNESS,1,"",:broken_heart: :ninja_light_skin_tone:,sadness (0.95),gaming,1d1c00eb-7828-4518-bbe6-ed76b8780984
a2d7d402-5d1d-41e9-93b3-7a419c024f97,"You didn't get every dreamcatcher, rock carving herb or dinosaur bone.😂😂😂",NEUTRAL,0,JOY,"You didn't get every dreamcatcher, rock carving herb or dinosaur bone. :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy:",neutral (0.75),gaming,1d1c00eb-7828-4518-bbe6-ed76b8780984
3a9b286f-c9af-4961-8630-042ce61fa985,The literal day I introduced my bf to Sea of Thieves we got targeted by the Kraken. I may have traumatized him.,SADNESS,1,"",The literal day I introduced my bf to Sea of Thieves we got targeted by the Kraken. I may have traumatized him.,sadness (0.441),gaming,2a5e2c4f-7aa7-44b9-a91f-1395a7df01e0
c376768e-cbed-43bc-83fe-7406e0d8f786,game?,NEUTRAL,0,SURPRISE,game?,neutral (0.888),gaming,2a5e2c4f-7aa7-44b9-a91f-1395a7df01e0
6f08f590-d7f7-414a-a83f-eb333630bd72,😂,JOY,1,"",:face_with_tears_of_joy:,joy (0.569),gaming,2a5e2c4f-7aa7-44b9-a91f-1395a7df01e0
81eea4e2-4f8e-417e-8ebb-79268716e687,"""JESUSS CHRII-""🗣️",NEUTRAL,0,JOY,JESUSS CHRII :speaking_head:,neutral (0.997),gaming,2a5e2c4f-7aa7-44b9-a91f-1395a7df01e0
8a0409dd-5f49-4fb5-a5d3-5660846105a3,"Sails up, turn ship 180 degrees. Sails down and sail out of it, ez",NEUTRAL,1,"","Sails up, turn ship 180 degrees. Sails down and sail out of it, ez",neutral (0.997),gaming,2a5e2c4f-7aa7-44b9-a91f-1395a7df01e0
b6e5f397-1c1e-4037-b16e-4ede5b516ecc,Who the fuck forbid intelligence in this comment section,ANGER,1,"",Who the fuck forbid intelligence in this comment section,anger (0.91),gaming,4077932c-5d91-45f2-a7cf-0ec1d6151258
bcb4f190-1e3d-41f3-9f94-60bdac04ed89,Looks awesome but I always hold my breath when a game is shown because lately on releases they dont look the same.,JOY,1,"",Looks awesome but I always hold my breath when a game is shown because lately on releases they dont look the same.,admiration (0.968),gaming,4077932c-5d91-45f2-a7cf-0ec1d6151258
7a390712-0dc0-4828-8887-d98e61340420,I hope that they were given the time finish and aren’t rushed to release things,JOY,1,"",I hope that they were given the time finish and aren't rushed to release things,optimism (0.943),gaming,4077932c-5d91-45f2-a7cf-0ec1d6151258
8de452bd-ccf9-4e0e-a8fd-4c3e51f6176e,So the actual ending of 3 is Ciri becomes a Witcher… i wonder how many changes happened prior to Witcher 4😅,SURPRISE,1,"",So the actual ending of 3 is Ciri becomes a Witcher i wonder how many changes happened prior to Witcher 4 :grinning_face_with_sweat:,surprise (0.807),gaming,4077932c-5d91-45f2-a7cf-0ec1d6151258
5e685f53-deb3-4d02-8249-f229233a28b4,Tech demo is basically proof of concept no? Looks good but doubt the game will be like this,SURPRISE,1,"",Tech demo is basically proof of concept no? Looks good but doubt the game will be like this,confusion (0.696),gaming,4077932c-5d91-45f2-a7cf-0ec1d6151258
